,Boat,Trip Details,Dock Totals,Date
4,"Legend  H&M Landing  San Diego, CA",27 Anglers1.5 DayOffshore,25 Bluefin Tuna,2020-10-31
5,"Malihini  H&M Landing  San Diego, CA",22 AnglersFull DayOffshore,"100 Yellowtail, 1 Dorado, 4 Bonito",2020-10-31
6,"Ocean Odyssey  H&M Landing  San Diego, CA",29 Anglers1.5 DayOffshore,"54 Bluefin Tuna, 4 Yellowtail",2020-10-31
7,"Old Glory  H&M Landing  San Diego, CA",30 AnglersOvernightOffshore,"95 Yellowtail, 2 Dorado, 25 Skipjack Tuna, 150 Yellowfin Tuna",2020-10-31
8,"Premier  H&M Landing  San Diego, CA",28 Anglers1/2 Day AMLocal,202 Rockfish,2020-10-31
9,"Producer  H&M Landing  San Diego, CA",23 AnglersOvernight,"3 Dorado, 50 Skipjack Tuna, 35 Yellowfin Tuna",2020-10-31
10,"Reel Champion  H&M Landing  San Diego, CA",2 Anglers1.5 DayOffshore,3 Bluefin Tuna,2020-10-31
11,"Relentless  H&M Landing  San Diego, CA",18 Anglers1.75 DayOffshore,"30 Bluefin Tuna, 13 Yellowtail",2020-10-31
12,"Top Gun 80  H&M Landing  San Diego, CA",25 Anglers2.5 DayOffshore,"100 Bluefin Tuna, 100 Yellowtail",2020-10-31
13,"Vendetta  H&M Landing  San Diego, CA",12 AnglersFull Day,,2020-10-31
0,"Chubasco II  Oceanside Sea Center  Oceanside, CA",20 Anglers1/2 Day AM,"15 Sculpin, 35 Whitefish, 45 Rockfish",2020-10-31
1,"Chubasco II  Oceanside Sea Center  Oceanside, CA",16 Anglers1/2 Day PM,"22 Sculpin, 35 Whitefish, 2 Bonito, 50 Rockfish",2020-10-31
0,"Daily Double  Point Loma Sportfishing  San Diego, CA",19 Anglers1/2 Day AM,"16 Sheephead, 4 Calico Bass, 8 Bonito, 10 Rockfish",2020-10-31
1,"Game Changer  Point Loma Sportfishing  San Diego, CA",6 Anglers2.5 Day,14 Bluefin Tuna (up to 263 pounds),2020-10-31
2,"Mission Belle  Point Loma Sportfishing  San Diego, CA",23 AnglersFull Day,"28 Yellowtail, 5 Skipjack Tuna, 8 Yellowfin Tuna",2020-10-31
0,"Aztec  Seaforth Sportfishing  San Diego, CA",25 Anglers2 Day,30 Bluefin Tuna,2020-10-31
1,"El Gato Dos  Seaforth Sportfishing  San Diego, CA",6 AnglersFull Day,"7 Yellowtail, 1 Yellowfin Tuna",2020-10-31
2,"New Seaforth  Seaforth Sportfishing  San Diego, CA",34 Anglers1/2 Day AM,"50 Whitefish, 3 Bonito, 110 Rockfish, 20 Vermilion Rockfish",2020-10-31
3,"New Seaforth  Seaforth Sportfishing  San Diego, CA",29 Anglers1/2 Day PM,"1 Sheephead, 14 Whitefish, 180 Rockfish",2020-10-31
4,"San Diego  Seaforth Sportfishing  San Diego, CA",33 AnglersFull Day,"165 Yellowtail, 11 Dorado, 43 Skipjack Tuna, 25 Yellowfin Tuna",2020-10-31
5,"Sea Watch  Seaforth Sportfishing  San Diego, CA",25 AnglersFull Day,"2 Yellowtail, 1 Dorado, 1 Bonito",2020-10-31
6,"Tribute  Seaforth Sportfishing  San Diego, CA",30 Anglers1.5 Day,"40 Bluefin Tuna, 47 Yellowtail",2020-10-31
7,"Voyager  Seaforth Sportfishing  San Diego, CA",9 Anglers1.5 Day,"18 Bluefin Tuna, 28 Yellowtail",2020-10-31
0,"Condor  Fisherman's Landing  San Diego, CA",34 Anglers1.5 Day,42 Bluefin Tuna,2020-11-01
1,"Dolphin  Fisherman's Landing  San Diego, CA",40 Anglers1/2 Day AM,"10 Sand Bass, 2 Halibut, 5 Sheephead, 10 Yellowtail, 6 Calico Bass, 35 Rockfish",2020-11-01
2,"Dolphin  Fisherman's Landing  San Diego, CA",41 Anglers1/2 Day PM,"6 Sand Bass, 17 Sculpin, 41 Sheephead, 23 Calico Bass, 38 Rockfish",2020-11-01
3,"Islander  Fisherman's Landing  San Diego, CA",31 Anglers1.5 Day,56 Bluefin Tuna (up to 50 pounds),2020-11-01
4,"Liberty  Fisherman's Landing  San Diego, CA",39 AnglersFull Day,"57 Yellowtail, 1 Dorado, 5 Skipjack Tuna",2020-11-01
5,"Outrider  Fisherman's Landing  San Diego, CA",0 Anglers2 Day,"6 Bluefin Tuna (up to 150 pounds), 30 Yellowtail (up to 30 pounds)",2020-11-01
6,"Pacific Queen  Fisherman's Landing  San Diego, CA",33 AnglersOvernight,"6 Yellowtail, 6 Dorado, 165 Yellowfin Tuna",2020-11-01
7,"Pegasus  Fisherman's Landing  San Diego, CA",19 Anglers3 Day,"74 Bluefin Tuna (up to 285 pounds), 45 Yellowtail (up to 30 pounds)",2020-11-01
8,"Tomahawk  Fisherman's Landing  San Diego, CA",27 Anglers1.5 Day,13 Bluefin Tuna (up to 350 pounds),2020-11-01
0,"Grande  H&M Landing  San Diego, CA",37 AnglersFull Day,"114 Yellowtail, 1 Dorado",2020-11-01
1,"Legend  H&M Landing  San Diego, CA",27 Anglers1.5 Day,25 Bluefin Tuna,2020-11-01
2,"Ocean Odyssey  H&M Landing  San Diego, CA",29 Anglers1.5 Day,"54 Bluefin Tuna, 4 Yellowtail",2020-11-01
3,"Old Glory  H&M Landing  San Diego, CA",30 AnglersOvernight,"22 Yellowtail, 10 Dorado, 85 Skipjack Tuna, 150 Yellowfin Tuna",2020-11-01
4,"Premier  H&M Landing  San Diego, CA",32 Anglers1/2 Day AM,189 Rockfish,2020-11-01
5,"Premier  H&M Landing  San Diego, CA",18 Anglers1/2 Day PM,"2 Sheephead, 1 Bonito, 71 Rockfish",2020-11-01
6,"Producer  H&M Landing  San Diego, CA",19 AnglersOvernight,"39 Yellowtail, 5 Dorado, 60 Skipjack Tuna, 40 Yellowfin Tuna",2020-11-01
7,"Relentless  H&M Landing  San Diego, CA",18 Anglers1.5 Day,"30 Bluefin Tuna, 13 Yellowtail",2020-11-01
0,"Oceanside 95  Helgrens Sportfishing  Oceanside, CA",27 Anglers1.5 Day,"24 Bluefin Tuna, 20 Yellowtail",2020-11-01
1,"Sea Trek  Helgrens Sportfishing  Oceanside, CA",22 Anglers1/2 Day AM,"1 Sand Bass, 31 Sculpin, 6 Sheephead, 2 Whitefish, 9 Treefish, 3 Sand Bass Released, 12 Sculpin Released, 3 Sheephead Released, 9 Whitefish Released, 5 Treefish Released",2020-11-01
0,"Chubasco II  Oceanside Sea Center  Oceanside, CA",19 Anglers1/2 Day AMLocal,"40 Sculpin, 19 Whitefish, 2 Bonito, 28 Rockfish",2020-11-01
1,"Chubasco II  Oceanside Sea Center  Oceanside, CA",17 Anglers1/2 Day PMLocal,"5 Sculpin, 1 Sheephead, 8 Whitefish, 30 Bonito, 75 Rockfish",2020-11-01
0,"Daily Double  Point Loma Sportfishing  San Diego, CA",18 Anglers1/2 Day AM,"1 Barred Sand Bass, 12 Sheephead, 3 Calico Bass, 128 Whitefish, 12 Bonito, 45 Rockfish",2020-11-01
1,"El Capitan  Point Loma Sportfishing  San Diego, CA",15 Anglers1.5 Day,20 Bluefin Tuna (up to 244 pounds),2020-11-01
2,"Mission Belle  Point Loma Sportfishing  San Diego, CA",21 AnglersFull Day,"3 Yellowtail, 1 Dorado, 1 Skipjack Tuna",2020-11-01
3,"New Lo-An  Point Loma Sportfishing  San Diego, CA",13 Anglers2.5 Day,25 Bluefin Tuna (up to 200 pounds),2020-11-01
0,"El Gato Dos  Seaforth Sportfishing  San Diego, CA",6 Anglers1/2 Day AM,"2 Sheephead, 23 Whitefish, 15 Rockfish, 12 Vermilion Rockfish",2020-11-01
1,"Pride  Seaforth Sportfishing  San Diego, CA",16 Anglers1.5 Day,"13 Bluefin Tuna (up to 190 pounds), 19 Yellowtail",2020-11-01
2,"San Diego  Seaforth Sportfishing  San Diego, CA",34 AnglersFull Day,"170 Yellowtail, 4 Dorado, 1 Yellowfin Tuna",2020-11-01
3,"Sea Watch  Seaforth Sportfishing  San Diego, CA",25 Anglers1/2 Day AM,"25 Whitefish, 1 Bonito, 90 Rockfish, 15 Vermilion Rockfish",2020-11-01
4,"Sea Watch  Seaforth Sportfishing  San Diego, CA",26 Anglers1/2 Day PM,"25 Whitefish, 85 Rockfish, 25 Vermilion Rockfish",2020-11-01
5,"Voyager  Seaforth Sportfishing  San Diego, CA",15 AnglersFull Day,75 Yellowtail,2020-11-01
0,"Liberty  Fisherman's Landing  San Diego, CA",17 AnglersFull Day,"85 Yellowtail, 9 Dorado, 23 Skipjack Tuna, 24 Yellowfin Tuna",2020-11-02
1,"Pacific Dawn  Fisherman's Landing  San Diego, CA",16 Anglers1.5 Day,28 Bluefin Tuna (up to 80 pounds),2020-11-02
0,"Alicia  H&M Landing  San Diego, CA",10 Anglers1/2 Day Twilight,"10 Lobster, 55 Lobster Released",2020-11-02
1,"Easter B  H&M Landing  San Diego, CA",6 Anglers1.5 Day,3 Bluefin Tuna (up to 170 pounds),2020-11-02
2,"Grande  H&M Landing  San Diego, CA",33 AnglersFull Day,"90 Yellowtail, 9 Dorado, 1 Skipjack Tuna, 1 Yellowfin Tuna",2020-11-02
3,"Jig Strike  H&M Landing  San Diego, CA",10 Anglers1/2 Day Twilight,"11 Lobster, 54 Lobster Released",2020-11-02
4,"Old Glory  H&M Landing  San Diego, CA",30 AnglersOvernight,"63 Yellowtail, 8 Dorado, 67 Skipjack Tuna, 150 Yellowfin Tuna",2020-11-02
0,"Chubasco II  Oceanside Sea Center  Oceanside, CA",15 Anglers1/2 Day AM,"40 Sculpin, 13 Whitefish, 97 Rockfish",2020-11-02
0,"Mission Belle  Point Loma Sportfishing  San Diego, CA",12 AnglersFull Day,"12 Yellowtail, 7 Dorado, 15 Bonito, 11 Skipjack Tuna, 36 Yellowfin Tuna",2020-11-02
0,"El Gato Dos  Seaforth Sportfishing  San Diego, CA",2 AnglersFull Day,"10 Yellowtail, 1 Dorado",2020-11-02
1,"Pacifica  Seaforth Sportfishing  San Diego, CA",30 AnglersOvernight,"4 Yellowtail, 2 Dorado, 109 Yellowfin Tuna",2020-11-02
2,"San Diego  Seaforth Sportfishing  San Diego, CA",34 AnglersFull Day,"59 Yellowtail, 8 Dorado, 122 Skipjack Tuna, 122 Yellowfin Tuna",2020-11-02
3,"Sea Watch  Seaforth Sportfishing  San Diego, CA",25 Anglers1/2 Day AM,76 Rockfish,2020-11-02
4,"Sea Watch  Seaforth Sportfishing  San Diego, CA",15 Anglers1/2 Day PM,"4 Sheephead, 4 Calico Bass, 61 Whitefish, 4 Bonito, 42 Rockfish",2020-11-02
0,"Islander  Fisherman's Landing  San Diego, CA",31 Anglers1.5 Day,"47 Bluefin Tuna (up to 150 pounds), 4 Yellowtail",2020-11-03
1,"Liberty  Fisherman's Landing  San Diego, CA",14 AnglersFull Day,"28 Yellowtail, 8 Dorado, 10 Skipjack Tuna, 29 Yellowfin Tuna",2020-11-03
2,"Outrider  Fisherman's Landing  San Diego, CA",10 Anglers1.5 Day,3 Bluefin Tuna (up to 160 pounds),2020-11-03
3,"Pacific Queen  Fisherman's Landing  San Diego, CA",33 Anglers1.5 Day,"51 Bluefin Tuna (up to 210 pounds), 4 Yellowtail",2020-11-03
4,"Pegasus  Fisherman's Landing  San Diego, CA",19 AnglersExtended 1.5 Day,"54 Bluefin Tuna (up to 150 pounds), 37 Yellowtail",2020-11-03
0,"Alicia  H&M Landing  San Diego, CA",10 Anglers1/2 Day TwilightLocal,"14 Lobster, 76 Lobster Released",2020-11-03
1,"Grande  H&M Landing  San Diego, CA",26 AnglersFull DayOffshore,"106 Yellowtail, 10 Dorado, 9 Skipjack Tuna, 9 Yellowfin Tuna",2020-11-03
2,"Jig Strike  H&M Landing  San Diego, CA",10 Anglers1/2 Day TwilightLocal,"23 Lobster, 74 Lobster Released",2020-11-03
3,"Ocean Odyssey  H&M Landing  San Diego, CA",29 Anglers1.5 Day,"57 Bluefin Tuna, 4 Yellowtail",2020-11-03
4,"Old Glory  H&M Landing  San Diego, CA",24 AnglersOvernightOffshore,"12 Yellowtail, 16 Dorado, 63 Skipjack Tuna, 120 Yellowfin Tuna",2020-11-03
5,"Premier  H&M Landing  San Diego, CA",23 Anglers1/2 Day AMLocal,55 Rockfish,2020-11-03
0,"Chubasco II  Oceanside Sea Center  Oceanside, CA",10 Anglers1/2 Day AM,"7 Sculpin, 6 Whitefish, 75 Rockfish",2020-11-03
0,"Daily Double  Point Loma Sportfishing  San Diego, CA",10 Anglers1/2 Day AM,"1 Barred Sand Bass, 1 Sheephead, 5 Calico Bass, 34 Whitefish, 15 Bonito, 33 Rockfish",2020-11-03
1,"Game Changer  Point Loma Sportfishing  San Diego, CA",6 AnglersFull Day,20 Bluefin Tuna (up to 326 pounds),2020-11-03
2,"Mission Belle  Point Loma Sportfishing  San Diego, CA",11 AnglersFull Day,"1 Bonito, 7 Skipjack Tuna, 16 Yellowfin Tuna",2020-11-03
0,"Pride  Seaforth Sportfishing  San Diego, CA",9 AnglersFull Day,"10 Yellowtail, 11 Dorado, 45 Bonito",2020-11-03
1,"San Diego  Seaforth Sportfishing  San Diego, CA",32 AnglersFull Day,"128 Yellowtail, 12 Dorado, 10 Skipjack Tuna, 7 Yellowfin Tuna",2020-11-03
2,"Sea Watch  Seaforth Sportfishing  San Diego, CA",18 Anglers1/2 Day AM,"27 Whitefish, 19 Rockfish, 61 Vermilion Rockfish",2020-11-03
3,"Sea Watch  Seaforth Sportfishing  San Diego, CA",20 Anglers1/2 Day PM,"3 Sheephead, 34 Whitefish, 69 Rockfish, 31 Vermilion Rockfish",2020-11-03
4,"Tribute  Seaforth Sportfishing  San Diego, CA",31 Anglers1.5 Day,"16 Bluefin Tuna, 1 Yellowtail",2020-11-03
5,"Voyager  Seaforth Sportfishing  San Diego, CA",8 AnglersOvernight,"40 Yellowtail, 33 Yellowfin Tuna",2020-11-03
0,"Liberty  Fisherman's Landing  San Diego, CA",32 AnglersFull Day,"50 Yellowtail, 10 Dorado, 5 Skipjack Tuna, 15 Yellowfin Tuna",2020-11-04
1,"Tomahawk  Fisherman's Landing  San Diego, CA",24 Anglers2.5 Day,28 Bluefin Tuna (up to 300 pounds),2020-11-04
0,"Alicia  H&M Landing  San Diego, CA",7 Anglers1/2 Day Twilight,"22 Lobster, 34 Lobster Released",2020-11-04
1,"Grande  H&M Landing  San Diego, CA",23 AnglersFull Day,"93 Yellowtail, 12 Dorado, 12 Yellowfin Tuna",2020-11-04
2,"Jig Strike  H&M Landing  San Diego, CA",9 Anglers1/2 Day Twilight,"23 Lobster, 92 Lobster Released",2020-11-04
3,"Old Glory  H&M Landing  San Diego, CA",29 AnglersOvernight,"18 Yellowtail, 2 Dorado, 100 Skipjack Tuna, 145 Yellowfin Tuna",2020-11-04
4,"Premier  H&M Landing  San Diego, CA",10 Anglers1/2 Day PMLocal,"5 Sand Bass, 11 Sculpin, 3 Sheephead, 5 Calico Bass, 1 Bonito, 8 Rockfish",2020-11-04
5,"Sea Adventure 80  H&M Landing  San Diego, CA",18 Anglers4 Day,"51 Bluefin Tuna (up to 285 pounds), 12 Yellowtail, 50 Rockfish",2020-11-04
0,"Oceanside 95  Helgrens Sportfishing  Oceanside, CA",26 Anglers1.5 Day,"39 Bluefin Tuna, 5 Yellowtail",2020-11-04
0,"Chubasco II  Oceanside Sea Center  Oceanside, CA",9 Anglers1/2 Day AM,"1 Sculpin, 5 Whitefish, 1 Bonito, 35 Rockfish",2020-11-04
0,"Mission Belle  Point Loma Sportfishing  San Diego, CA",10 AnglersFull Day,"2 Yellowtail, 1 Bonito",2020-11-04
1,"New Lo-An  Point Loma Sportfishing  San Diego, CA",22 Anglers2.5 Day,36 Bluefin Tuna (up to 200 pounds),2020-11-04
0,"Aztec  Seaforth Sportfishing  San Diego, CA",25 Anglers3 Day,"51 Bluefin Tuna (up to 310 pounds), 8 Yellowtail",2020-11-04
1,"Pacifica  Seaforth Sportfishing  San Diego, CA",27 Anglers1.5 Day,37 Bluefin Tuna (up to 210 pounds),2020-11-04
2,"San Diego  Seaforth Sportfishing  San Diego, CA",34 AnglersFull Day,"36 Yellowtail, 5 Dorado, 89 Skipjack Tuna, 148 Yellowfin Tuna",2020-11-04
3,"Sea Watch  Seaforth Sportfishing  San Diego, CA",25 Anglers1/2 Day AM,"5 Sheephead, 34 Whitefish, 69 Rockfish, 21 Vermilion Rockfish",2020-11-04
4,"Sea Watch  Seaforth Sportfishing  San Diego, CA",24 Anglers1/2 Day PM,"5 Sculpin, 11 Sheephead, 37 Whitefish, 91 Rockfish, 17 Vermilion Rockfish",2020-11-04
0,"Liberty  Fisherman's Landing  San Diego, CA",22 AnglersFull Day,"110 Yellowtail, 6 Dorado, 28 Yellowfin Tuna",2020-11-05
1,"Outrider  Fisherman's Landing  San Diego, CA",10 Anglers1.5 Day,"12 Bluefin Tuna (up to 170 pounds), 3 Yellowtail, 3 Bonito",2020-11-05
0,"Alicia  H&M Landing  San Diego, CA",10 Anglers1/2 Day Twilight,"17 Lobster, 44 Lobster Released",2020-11-05
1,"Grande  H&M Landing  San Diego, CA",25 AnglersFull Day,"98 Yellowtail, 4 Dorado, 1 Bonito, 1 Skipjack Tuna",2020-11-05
2,"Mustang  H&M Landing  San Diego, CA",20 Anglers2 Day,"5 Bluefin Tuna (up to 175 pounds), 16 Yellowtail",2020-11-05
3,"Old Glory  H&M Landing  San Diego, CA",30 AnglersOvernight,"4 Yellowtail, 6 Dorado, 83 Skipjack Tuna, 139 Yellowfin Tuna",2020-11-05
4,"Premier  H&M Landing  San Diego, CA",11 Anglers1/2 Day PM,"1 Sand Bass, 2 Sculpin, 1 Calico Bass, 1 Lingcod, 47 Rockfish",2020-11-05
0,"Sea Trek  Helgrens Sportfishing  Oceanside, CA",19 Anglers3/4 Day,"3 Bocaccio, 16 Sculpin, 2 Sheephead, 9 Whitefish, 52 Rockfish, 16 Sanddab, 29 Red Rockfish, 25 Sculpin Released, 2 Sheephead Released, 2 Whitefish Released, 15 Rockfish Released, 15 Sanddab Released",2020-11-05
0,"Chubasco II  Oceanside Sea Center  Oceanside, CA",11 Anglers1/2 Day AMLocal,"1 Sheephead, 1 Lingcod, 45 Rockfish",2020-11-05
0,"Sauerfish  Point Loma Sportfishing  San Diego, CA",5 Anglers2.5 Day,"16 Bluefin Tuna (up to 260 pounds), 36 Yellowtail",2020-11-05
0,"San Diego  Seaforth Sportfishing  San Diego, CA",32 AnglersFull Day,"55 Yellowtail, 9 Dorado, 72 Skipjack Tuna, 160 Yellowfin Tuna",2020-11-05
1,"Sea Watch  Seaforth Sportfishing  San Diego, CA",9 Anglers1/2 Day AM,"11 Whitefish, 28 Rockfish, 25 Vermilion Rockfish",2020-11-05
2,"Sea Watch  Seaforth Sportfishing  San Diego, CA",26 Anglers1/2 Day PM,"1 Sheephead, 46 Whitefish, 51 Rockfish",2020-11-05
3,"Tribute  Seaforth Sportfishing  San Diego, CA",32 Anglers1.5 Day,"16 Bluefin Tuna (up to 182 pounds), 19 Yellowtail",2020-11-05
0,"Condor  Fisherman's Landing  San Diego, CA",24 Anglers1.5 Day,"48 Bluefin Tuna (up to 270 pounds), 2 Yellowtail",2020-11-06
1,"Liberty  Fisherman's Landing  San Diego, CA",40 AnglersFull Day,"26 Yellowtail, 11 Dorado, 30 Skipjack Tuna, 28 Yellowfin Tuna",2020-11-06
2,"Pacific Queen  Fisherman's Landing  San Diego, CA",24 Anglers3 Day,"78 Bluefin Tuna (up to 378 pounds), 16 Yellowtail, 1 Opah (up to 70 pounds)",2020-11-06
3,"Tomahawk  Fisherman's Landing  San Diego, CA",27 Anglers1.5 Day,14 Bluefin Tuna (up to 190 pounds),2020-11-06
0,"Old Glory  H&M Landing  San Diego, CA",30 AnglersOvernightOffshore,"3 Yellowtail, 2 Dorado, 96 Skipjack Tuna, 81 Yellowfin Tuna",2020-11-06
1,"Premier  H&M Landing  San Diego, CA",12 Anglers1/2 Day AM,"4 Sculpin, 45 Rockfish",2020-11-06
0,"Oceanside 95  Helgrens Sportfishing  Oceanside, CA",19 Anglers1.5 Day,"41 Bluefin Tuna, 5 Yellowtail, 34 Bonito",2020-11-06
0,"Daily Double  Point Loma Sportfishing  San Diego, CA",11 Anglers1/2 Day AM,"1 Barred Sand Bass, 11 Sheephead, 19 Calico Bass, 4 Whitefish, 47 Bonito, 4 Rockfish",2020-11-06
1,"Game Changer  Point Loma Sportfishing  San Diego, CA",4 Anglers2.5 Day,11 Bluefin Tuna (up to 340 pounds),2020-11-06
2,"Mission Belle  Point Loma Sportfishing  San Diego, CA",22 AnglersFull Day,"87 Yellowtail, 7 Dorado, 53 Bonito",2020-11-06
0,"Pacifica  Seaforth Sportfishing  San Diego, CA",26 Anglers1.5 Day,52 Bluefin Tuna (up to 190 pounds),2020-11-06
1,"San Diego  Seaforth Sportfishing  San Diego, CA",34 AnglersFull Day,"48 Yellowtail, 15 Dorado, 80 Skipjack Tuna, 97 Yellowfin Tuna",2020-11-06
2,"Sea Watch  Seaforth Sportfishing  San Diego, CA",12 Anglers1/2 Day AM,"5 Sculpin, 3 Sheephead, 1 Lingcod, 12 Whitefish, 1 Bonito, 51 Rockfish",2020-11-06
3,"Sea Watch  Seaforth Sportfishing  San Diego, CA",25 Anglers1/2 Day PM,"55 Whitefish, 27 Rockfish",2020-11-06
0,"Premier  H&M Landing  San Diego, CA",40 Anglers1/2 Day PM,,2020-11-07
1,"Premier  H&M Landing  San Diego, CA",37 Anglers1/2 Day AM,"3 Sand Bass, 10 Sculpin, 51 Rockfish",2020-11-07
0,"Daily Double  Point Loma Sportfishing  San Diego, CA",24 Anglers1/2 Day AM,"7 Barred Sand Bass, 3 Sculpin, 1 Blue Perch, 1 Bonito, 15 Barred Sand Bass Released, 5 Halibut Released",2020-11-07
0,"Premier  H&M Landing  San Diego, CA",40 Anglers1/2 Day PM,,2020-11-08
1,"Premier  H&M Landing  San Diego, CA",37 Anglers1/2 Day AM,"3 Sand Bass, 10 Sculpin, 51 Rockfish",2020-11-08
0,"Daily Double  Point Loma Sportfishing  San Diego, CA",24 Anglers1/2 Day AM,"7 Barred Sand Bass, 3 Sculpin, 1 Blue Perch, 1 Bonito, 15 Barred Sand Bass Released, 5 Halibut Released",2020-11-08
0,"Premier  H&M Landing  San Diego, CA",20 Anglers1/2 Day PM,"1 Sand Bass, 2 Sculpin, 41 Rockfish",2020-11-09
0,"Pacific Dawn  Fisherman's Landing  San Diego, CA",12 AnglersOvernight,"6 Yellowtail, 8 Dorado",2020-11-10
0,"Alicia  H&M Landing  San Diego, CA",10 Anglers1/2 Day Twilight,"3 Lobster, 10 Lobster Released",2020-11-10
1,"Grande  H&M Landing  San Diego, CA",20 AnglersFull Day,"100 Yellowtail, 1 Skipjack Tuna",2020-11-10
2,"Jig Strike  H&M Landing  San Diego, CA",10 Anglers1/2 Day Twilight,,2020-11-10
3,"Old Glory  H&M Landing  San Diego, CA",17 AnglersOvernightOffshore,"62 Yellowtail, 2 Dorado",2020-11-10
4,"Premier  H&M Landing  San Diego, CA",13 Anglers1/2 Day AM,"1 Sculpin, 75 Rockfish",2020-11-10
0,"Mission Belle  Point Loma Sportfishing  San Diego, CA",6 AnglersFull Day,30 Yellowtail,2020-11-10
0,"San Diego  Seaforth Sportfishing  San Diego, CA",33 AnglersFull Day,"165 Yellowtail, 4 Dorado, 3 Skipjack Tuna",2020-11-10
1,"Sea Watch  Seaforth Sportfishing  San Diego, CA",18 Anglers1/2 Day AM,"2 Sheephead, 1 Lingcod, 14 Whitefish, 127 Rockfish, 11 Vermilion Rockfish",2020-11-10
2,"Sea Watch  Seaforth Sportfishing  San Diego, CA",13 Anglers1/2 Day PM,"4 Sheephead, 26 Whitefish, 72 Rockfish",2020-11-10
0,"Condor  Fisherman's Landing  San Diego, CA",15 Anglers1.5 Day,30 Bluefin Tuna,2020-11-11
1,"Liberty  Fisherman's Landing  San Diego, CA",39 AnglersFull Day,"184 Yellowtail, 2 Dorado, 1 Skipjack Tuna, 1 Yellowfin Tuna",2020-11-11
2,"Pacific Queen  Fisherman's Landing  San Diego, CA",24 Anglers2.5 Day,44 Bluefin Tuna,2020-11-11
3,"Tomahawk  Fisherman's Landing  San Diego, CA",16 Anglers1.5 Day,8 Bluefin Tuna,2020-11-11
0,"Alicia  H&M Landing  San Diego, CA",10 Anglers1/2 Day Twilight,,2020-11-11
1,"Grande  H&M Landing  San Diego, CA",35 AnglersFull Day,"134 Yellowtail, 1 Dorado, 3 Skipjack Tuna",2020-11-11
2,"Jig Strike  H&M Landing  San Diego, CA",10 Anglers1/2 Day Twilight,,2020-11-11
3,"Old Glory  H&M Landing  San Diego, CA",30 AnglersOvernight,"150 Yellowtail, 1 Dorado, 147 Yellowfin Tuna",2020-11-11
4,"Premier  H&M Landing  San Diego, CA",39 Anglers1/2 Day AM,"4 Sand Bass, 18 Sculpin, 1 Sheephead, 40 Rockfish",2020-11-11
5,"Premier  H&M Landing  San Diego, CA",24 Anglers1/2 Day PM,"3 Sand Bass, 45 Sculpin, 3 Sheephead, 5 Rockfish",2020-11-11
0,"Chubasco II  Oceanside Sea Center  Oceanside, CA",21 Anglers1/2 Day AM,"16 Sculpin, 1 Sheephead, 55 Whitefish, 63 Rockfish",2020-11-11
0,"Daily Double  Point Loma Sportfishing  San Diego, CA",24 Anglers1/2 Day AM,"1 Sculpin, 12 Sheephead, 1 Lingcod, 16 Whitefish, 49 Rockfish",2020-11-11
1,"Mission Belle  Point Loma Sportfishing  San Diego, CA",24 AnglersFull Day,"1 Dorado, 8 Skipjack Tuna, 7 Yellowfin Tuna",2020-11-11
2,"New Lo-An  Point Loma Sportfishing  San Diego, CA",21 Anglers2.5 Day,16 Bluefin Tuna (up to 220 pounds),2020-11-11
0,"Pacific Voyager  Seaforth Sportfishing  San Diego, CA",9 AnglersOvernight,"45 Yellowtail, 2 Skipjack Tuna, 7 Yellowfin Tuna",2020-11-11
1,"Pacifica  Seaforth Sportfishing  San Diego, CA",23 Anglers2.5 Day,"26 Bluefin Tuna, 4 Yellowtail",2020-11-11
2,"San Diego  Seaforth Sportfishing  San Diego, CA",34 AnglersFull Day,"170 Yellowtail, 2 Dorado, 5 Skipjack Tuna",2020-11-11
3,"Sea Watch  Seaforth Sportfishing  San Diego, CA",25 Anglers1/2 Day AM,"7 Sculpin, 47 Whitefish, 115 Rockfish, 25 Vermilion Rockfish",2020-11-11
4,"Sea Watch  Seaforth Sportfishing  San Diego, CA",25 Anglers1/2 Day PM,"2 Yellowtail, 30 Whitefish, 65 Rockfish, 15 Vermilion Rockfish",2020-11-11
0,"Liberty  Fisherman's Landing  San Diego, CA",21 AnglersFull Day,"105 Yellowtail, 3 Dorado, 7 Skipjack Tuna, 29 Yellowfin Tuna",2020-11-12
0,"Grande  H&M Landing  San Diego, CA",18 AnglersFull Day,"63 Yellowtail, 20 Skipjack Tuna, 78 Yellowfin Tuna",2020-11-12
1,"Jig Strike  H&M Landing  San Diego, CA",0 AnglersOvernight,"2 Lobster, 4 Rock Crab, 11 Lobster Released",2020-11-12
2,"Ocean Odyssey  H&M Landing  San Diego, CA",29 Anglers1.5 Day,9 Bluefin Tuna,2020-11-12
3,"Old Glory  H&M Landing  San Diego, CA",16 AnglersOvernight,"80 Yellowtail, 80 Yellowfin Tuna",2020-11-12
4,"Relentless  H&M Landing  San Diego, CA",14 AnglersFull Day,"1 Yellowtail, 2 Lingcod, 11 Whitefish, 75 Rockfish",2020-11-12
0,"Chubasco II  Oceanside Sea Center  Oceanside, CA",20 Anglers1/2 Day AMLocal,"63 Sculpin, 5 Whitefish, 65 Rockfish",2020-11-12
0,"Daily Double  Point Loma Sportfishing  San Diego, CA",18 Anglers1/2 Day AM,"3 Sheephead, 58 Whitefish, 17 Rockfish",2020-11-12
